id	text
P001	A lively, short summer piano solo piece, ideal for indoor performance, contains cheerful melodies that capture the season's essence.
P002	The song features a joyful three-part children’s choral arrangement with percussion accompaniment, perfect for chamber music.
P003	This piece contains a mysterious, medium-tempo solo violin performance, ideal for a concert setting.
P004	Romantic classical music features piano and violin, offering a beautiful experience perfect for travel.
P005	The orchestral performance contains multi-voiced polyphonic music with beautiful melodies, suited for an elegant indoor setting.
P006	This Baroque chamber ensemble features a blend of mysterious instruments like violin, viola, and cello, suited for an intimate performance.
P007	The music contains a solemn, mysterious mass segment, ideal for performance in a church.
P008	A grand, slow-paced Gregorian chant features a majestic style, perfect for a solemn church setting.
P009	The song features a cello solo with a mysterious, religious style, accompanied by percussion, and performed in a concert.
P010	This string quartet contains a beautiful melodious style, with the violin providing accompaniment and the viola carrying the main melody.
P011	The music contains a modern piano piece by Jacob, featuring smooth, melodious tones with clear high and low notes, performed in a church.
P012	A tranquil nocturne for piano features a serene atmosphere, suitable for nighttime listening, possibly with violin and viola accompaniment.
P013	The song features a lively melody for oboe and clarinet, with the clarinet leading and the oboe providing accompaniment, performed at a concert.
P014	A solo harp piece contains flowing and serene qualities, ideal for film scoring.
P015	The music features a quiet, deep-toned cello segment, perfect for peaceful nighttime listening.
P016	This audio contains someone playing a classical melody on an acoustic guitar. This audio is full of reverb. This song may be playing at a talent show.
P017	The song is an instrumental. The song is medium tempo with a sitar playing solo, tabla playing percussively and other Indian percussion instruments. The song is emotional and poignant. The audio quality is very ordinary.
P018	This instrumental song features a run played on a piano followed by an ascending progression on the French horn. The horn plays descending notes and the piano repeats the same melody using arpeggiated chords. This is followed by two ascending notes on the horn. There are no other instruments in this song. This song has a relaxing feel. This song can be played in a bar.
P019	This is a classical music piece belonging to the baroque period. The piece is being performed with a harp. There is a catchy tune being played with a positive aura. This piece could suit well as wedding music. It could be used in the soundtrack of a documentary. It could also be playing in the background of a classy restaurant or a museum.
P020	The song is an instrumental. The song is slow tempo with a Chinese string instrument playing a lilting melody along with tones of the string instrument being plucked like a harp. The song is emotional and melancholic. The song is a live performance with ambient room noise and generally poor audio quality.
P021	The low quality recording features a live performance of a classical song and it contains trombone melody playing over shimmering hi hats and sustained strings. It sounds muffled, but also passionate and emotional.
P022	This is a classical music piece performed by a trio of the violin, the cello and the piano. The melody being played is a gentle one and there is a feeling of resolution in this section of the piece. This piece could be used in the soundtrack of a drama TV series during the closing scenes.
P023	This is a classical orchestral piece. The piece gives off the feeling of intensity and excitement. It would be used in  any scene that is thrilling and suspenseful. We hear french horns, violins and tubas. The violins are used to create a hurried moment of tension before descending back to the main motif on the brass instruments.
P024	This classical song features the main melody played on a harpsichord. The mood of this song is happy. This song does not have any percussion or any other instruments. There are no voices in this song. This song can be played for aristocracy.
P025	This music is instrumental. The tempo is medium with a lilting middle eastern kind of melody on a string instrument that sounds like a santoor along with a classical tabla accompaniment. The music is traditional, classical, captivating, romantic and nostalgic. This music is an Eastern Classical instrumental.
P026	This vibrant children's percussion ensemble features tambourines, sleigh bells, and castanets. The song is performed with a playful and lively mood, ideal for youthful audiences.
P027	This serene string quartet piece features the cello as the primary instrument, with the violin and viola providing rich, deep accompaniment. The song is performed with a calm and introspective mood, suitable for refined concert settings.
P028	This classical music excerpt features a slow and tranquil orchestral arrangement, enhanced with Romantic-style wind instruments. The song is performed to evoke a serene and elegant atmosphere.
P029	This evening music piece features a slow accordion solo with deep, resonant tones. The song is performed to create a reflective and calming ambiance, perfect for nighttime listening.
P030	This cheerful wind ensemble piece features bright rhythms and tight notes, with a focus on the middle register of the instruments. The song is performed with a joyful and engaging spirit, ideal for young audiences.
P031	This soothing piano solo serves as a backdrop for recitations, featuring a major key that brings clarity and brightness to the melody. The song is performed with a calming and uplifting quality.
P032	This energetic symphonic piece features vibrant rhythms from the violin and wind instruments. The song is performed with a dynamic and invigorating style, making it perfect for lively events.
P033	This elegant chamber orchestra piece features refined classical elements, adding a touch of sophistication to any performance. The song is performed with a noble and polished character.
P034	This simple and upbeat saxophone piece features smooth, consistent playing with minimal pitch variation. The song is performed with a light and airy feel, perfect for easy listening.
P035	This whimsical flute solo features a blend of fast and slow tempos, often used in comedic films. The song is performed with a quirky and entertaining flair.
P036	This chord-based cantata excerpt features a steady rhythm with minimal tempo changes. The song is performed with a focus on structural simplicity and clarity.
P037	This passionate pipa solo features intense emotions infused by the performer, reflecting the themes of horse-racing. The song is performed with a rich and evocative style, enhancing its emotional depth.
P038	This lively bamboo flute piece features intricate rhythms with a focus on sixteenth-note passages. The song is performed with dynamic and vibrant energy.
P039	This art song features beautiful melodies with varying vocal pitch. The song is performed to highlight its melodic charm and expressive qualities.
P040	This sorrowful erhu piece features slow, emotive long notes that showcase the instrument's ability to convey deep sadness. The song is performed with a poignant and heartfelt style.
P041	This Mongolian long tune in the Chinese pentatonic scale features a wide range and slow rhythm with minimal note changes. The song is performed with a steady and contemplative pace.
P042	This electronic music piece features a Xinjiang dance style with prominent sixteenth notes and syncopated rhythms. The song is performed with a rhythmic and energetic drive.
P043	This Korean long drum dance music piece features vibrant and expressive arrangements, perfectly integrating the drum with the dance. The song is performed with a distinctive drum-focused style.
P044	This slow Japanese minor scale piece features traditional Japanese instruments. The song is performed to evoke a serene and culturally rich atmosphere, ideal for evening listening.
P045	This melodious ocarina solo features a soothing background, often accompanied by other instruments. The song is performed with a harmonious and tranquil quality.
P046	This calming violin concerto features gentle, expressive notes and is used as film background music. The song is performed with a serene and atmospheric quality.
P047	This Impressionist-style classical music excerpt features a minor key and utilizes both trumpet and trombone. The song is performed with the trombone emphasizing the lower range and the trumpet highlighting the higher range.
P048	This Baroque-period polyphonic music piece features multiple voices performed on the piano. The song is performed with a clear, intricate texture, suitable for classical concerts.
P049	This piano sonata-style music piece features four-part harmonies, with clear differentiation between high, middle, and low voices. The song is performed with precise harmonic clarity.
P050	This light and cheerful art song features simple melodies with violin and piano accompaniment. The song is performed with female vocals and a joyful, engaging style.
P051	This summer-themed a cappella choral piece features well-balanced harmonies and seamless integration of high and low voices. The song is performed with a bright and harmonious quality.
P052	This adventurous and energetic music piece features strong rhythms and optional drum beats. The song is performed with a dynamic range and expansive energy, suitable for thrilling environments.
P053	This Chinese pentatonic choral piece features unique national musical characteristics and varied singing styles. The song is performed with a strong ethnic flavor, ideal for live performances.
P054	This lively pop music piece features violin and drum beats, with an expansive violin range and fast rhythms. The song is performed as vibrant background music for games.
P055	This pop song features rich piano chord accompaniment and includes electronic instruments. The song is performed with a diverse and vibrant soundscape.
P056	This soothing guitar melody features Southeast Asian influences and is performed with a wooden guitar as the main instrument. The song is designed to evoke a relaxed and calming mood.
P057	This Chinese pop music piece features bamboo flute elements with bright and fresh tones. The song is performed with tight rhythms and an energetic feel.
P058	This modern pop music piece features orchestral instruments with deep wind sounds and clear high notes from the strings. The song is performed with a contemporary and dynamic style.
